Name,Geburtsdatum,Geburtsort,Sterbedatum,Quelle,Sterbeort,Biografie,GND,Bild,,Biolex-Link
"ANGEL, Jürgen Hinrichsen (ursprüngl. Name: Jürgen Hinrichsen)",,,23.1.1810,1;1970,Flensburg,"ANGEL, Jürgen Hinrichsen (ursprüngl. Name: Jürgen Hinrichsen), geb. ca. 1732 in Angeln (Ort unbekannt), gest. 23.1.1810 Flensburg; ev. – Orgelbauer.",,,,
"ANGEL, Nicolai Hinrichsen",22.3.1767,Flensburg,14.1.1842,1970,Adelby b. Flensburg,"ANGEL, Nicolai Hinrichsen, geb. 22.3.1767 Flensburg, gest. 14.1.1842 Adelby b. Flensburg; ev. – Instrumentenmacher, Orgelbauer.",,,,
ANNA PETROVNA,8.2.1708,Moskau,18.5.1728,5;1979,Kiel,"ANNA PETROVNA, geb. 8.2.1708 Moskau, gest. 18.5.1728 Kiel; griech.-orthodox. – Herzogin v. Holstein-Gottorf seit 25.4.1725.",130852570,,,
ANNA VON BRANDENBURG,27.8.1487,Berlin,3.5.1514,3;1974,Kiel,"ANNA VON BRANDENBURG, geb. 27.8.1487 Berlin, gest. 3.5.1514 Kiel, begr. Bordesholm.",1073726738,,,
"ANNA, KURFÜRSTIN VON SACHSEN",,,,3;1974,,"ANNA, KURFÜRSTIN VON SACHSEN, geb. 22. (oder 25.) 11.1532 Hadersleben, gest. 1.10.1585 Dresden, begr. Domkirche zu Freiberg.",118645293,,,
"ANSCHÜTZ, Alfred Wilhelm",24.9.1870,Halle a.d. Saale,15.8.1954,1;1970,Kiel,"ANSCHÜTZ, Alfred Wilhelm, geb. 24.9.1870 Halle a.d. Saale, gest. 15.8.1954 Kiel; ev. – Prof. d. Chirurgie a.d. Univ. Kiel A. stammt aus einer Gewehrhändlerfamilie in Suhl (Thüringen).",116312440,,,
"ANSCHÜTZ-KAEMPFE, Hermann Josef Franz Hubertus",3.10.1872,Zweibrücken,6.5.1931,1;1970,München,"ANSCHÜTZ-KAEMPFE, Hermann Josef Franz Hubertus, geb. 3.10.1872 Zweibrücken, Pfalz, gest. 6.5.1931 München; kath. – Konstrukteur, Fabrikant.",119261782,,,
ANSGAR (Anskar),,,,1;1970,,"ANSGAR (Anskar), geb. um 801 in der Nähe von Corbie in der Picardie, gest. 3.2.865 Bremen. Erzbischof von Hamburg-Bremen (831-865).",118503286,,,
ANSVERUS (latinisiert aus Ansver),,,15.7.1066,1;1970,,"ANSVERUS (latinisiert aus Ansver), geb. ca. 1040, gest. 15.7.1066.",133272702,,,
"ANTHES, Otto Wilhelm Johannes Eugen (Ps.: Eugen Thossan)",7.10.1867,Michelbach a,19.11.1954,7;1985,Wiesbaden,"ANTHES, Otto Wilhelm Johannes Eugen (Ps.: Eugen Thossan), geb. 7.10.1867 Michelbach a. d. Ahr (Nassau), gest. 19.11.1954 Wiesbaden; ev. – Lehrer, Schriftsteller.",116312750,,,
